CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
0.4739998974535257,0.9429827612549412,2.2112355435871613,0.24250369088710735,0.4422965461502871,-0.010166149235445109,0.8106490932282691,0.43212432665559714,0.6432575048466997,0.641101208988286,0.08846247025086647,0.18383115705086955,0.19488092522813438
0.46627321797951937,0.73680662439452,1.9393829266152163,0.18208510393822022,0.17645949228271268,-0.25490227366684787,1.177135643526273,0.26668359145690945,0.35857380353664786,-0.0067234385492091955,0.08151823708715081,0.16039979319249803,0.19405218008440953
0.46884877780418815,1.070326845786378,1.7676865369487245,0.17241813002639825,0.12971891138291938,-0.14613066280844667,1.071537823948882,0.4400024569031537,0.3500118877077741,0.2165134332373601,0.04911181565647761,0.28341445344894883,0.19468592637078735
0.46884877780418815,0.9914947934573933,1.710454407059894,0.1772516169823092,0.15601048813905313,0.013142053091355157,0.9224585492513889,0.5030274988836061,0.4120857774671087,0.4988424181439036,0.02827911616533056,0.4005712727408068,0.1956224340409408
0.4611220983301818,0.6761665841414549,1.5029879362128833,0.11199954307751112,-0.1711735781595,-0.14613066280844667,1.2734160084350705,0.4557587173982668,0.21088075548857577,0.2953029173973257,0.032908604941141,0.3927608181213496,0.1956763153041551
0.45597097868084424,0.4487664331924609,1.4099857251435337,0.06849816047431237,-0.42240420049588895,-0.3092880790960485,1.6833840138531766,0.2981961124471357,0.0032542966383874846,-0.05706116454029835,0.032908604941141,0.38495036350189243,0.19557368432660402
0.45597097868084424,0.41238240904062184,1.359907611490807,0.041913982216802016,-0.5976813788701139,-0.4141749895666497,2.0716112917112315,0.14851163774356108,-0.12517444079471868,-0.5297980695000921,0.03522334932904626,0.33808763578514917,0.19494506958910376
0.4533954188561754,0.26381431042061243,1.359907611490807,0.03466375178293555,-0.6502645323823814,-0.4141749895666497,2.0436589277054518,0.14063350749600453,-0.12517444079471868,-0.5363638598467559,0.021334883001614863,0.4005712727408068,0.19519908125854266
0.452107638943841,0.1364702258891758,1.3098294978380802,0.01049631700338069,-0.8343055696753174,-0.48021489615925045,2.434992023786371,0.014583423535099614,-0.24718174135616952,-0.7771095058910954,0.021334883001614863,0.39471343177621393,0.19506052943884872
0.44824429920683784,-0.1182179431736975,1.2740594166575612,-0.0040041438643522225,-0.9745273123746974,-1.4319664911702614,2.8263251198672905,-2.033730440829605,-0.33494137860212536,-1.0375525229754263,0.012075905449993986,0.4044765000505354,0.194724412987369
-2.135042204935956,-0.11518594116104425,1.2382893354770421,-0.013671117776174165,-1.0738510467867581,-0.5734477054664515,3.177282579050972,-0.19024796290137086,-0.4162795789764259,-1.1601139427798173,0.007446416674183508,0.4103343410151283,0.1945909927165526
0.44953207911917226,0.051574169534884695,1.1953652380604192,-0.018504604732085136,-1.1176703413803144,-0.5928712074054517,3.4878644013374163,-0.2375167443867102,-0.44838676333470245,-1.2104516687709064,0.02827911616533056,0.32637195385596346,0.19433698104711372
0.44953207911917226,0.009126141357739145,1.2525973679492497,-0.006420887342307706,-0.9978976028245939,-0.5229466004250509,2.928817121221817,-0.07995413943557907,-0.3649080840031835,-1.101021829659843,0.016705394225804426,0.3634716132983851,0.19430362597940962
0.4546831987685098,0.28807032652183845,1.3455995790185993,0.03224700830498007,-0.6648709639135667,-0.2743257756058481,2.158574201951436,0.18790228898134387,-0.11233156705140805,-0.5363638598467559,0.009761161062088727,0.3927608181213496,0.1944678355434913
0.46627321797951937,0.8611187069133034,1.5959901472822329,0.1482506952468434,0.015788745439673218,0.020911453866955244,1.0591145510574242,0.42424619640804057,0.2686736873334735,0.2777941431395556,0.023649627389520124,0.349803317714335,0.19444474357354236
0.46884877780418815,0.9156947431410619,1.7605325207126206,0.1845018474161757,0.1910659238138981,-0.15390006358404673,0.8820829123541511,0.33758676368491847,0.4099452985098903,0.1158379812551818,0.016705394225804426,0.4122869546699926,0.1951708577397161
0.4624098782425162,0.5579185056479781,1.6889923583515825,0.10716605612160013,-0.1974651549156337,-0.2199399701766475,1.3137916453323082,0.31395237294224876,0.11669968137096458,-0.25184627815799115,0.023649627389520124,0.369329454262978,0.19481421509272617
