CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Cluster
0.4739998974535257,0.9429827612549412,2.2112355435871613,0.2425036908871073,0.4422965461502871,-0.0101661492354451,0.8106490932282691,0.4321243266555971,0.6432575048466997,0.641101208988286,0.0884624702508664,0.1838311570508695,0.1948809252281343,0
0.4662732179795193,0.73680662439452,1.9393829266152165,0.1820851039382202,0.1764594922827126,-0.2549022736668478,1.177135643526273,0.2666835914569094,0.3585738035366478,-0.0067234385492091,0.0815182370871508,0.160399793192498,0.1940521800844095,2
0.4688487778041881,1.070326845786378,1.7676865369487245,0.1724181300263982,0.1297189113829193,-0.1461306628084466,1.071537823948882,0.4400024569031537,0.3500118877077741,0.2165134332373601,0.0491118156564776,0.2834144534489488,0.1946859263707873,0
0.4688487778041881,0.9914947934573932,1.710454407059894,0.1772516169823092,0.1560104881390531,0.0131420530913551,0.9224585492513888,0.5030274988836061,0.4120857774671087,0.4988424181439036,0.0282791161653305,0.4005712727408068,0.1956224340409408,0
0.4611220983301818,0.6761665841414549,1.5029879362128833,0.1119995430775111,-0.1711735781595,-0.1461306628084466,1.2734160084350703,0.4557587173982668,0.2108807554885757,0.2953029173973257,0.032908604941141,0.3927608181213496,0.1956763153041551,2
0.4559709786808442,0.4487664331924609,1.4099857251435337,0.0684981604743123,-0.4224042004958889,-0.3092880790960485,1.6833840138531766,0.2981961124471357,0.0032542966383874,-0.0570611645402983,0.032908604941141,0.3849503635018924,0.195573684326604,2
0.4559709786808442,0.4123824090406218,1.359907611490807,0.041913982216802,-0.5976813788701139,-0.4141749895666497,2.0716112917112315,0.148511637743561,-0.1251744407947186,-0.5297980695000921,0.0352233493290462,0.3380876357851491,0.1949450695891037,2
0.4533954188561754,0.2638143104206124,1.359907611490807,0.0346637517829355,-0.6502645323823814,-0.4141749895666497,2.043658927705452,0.1406335074960045,-0.1251744407947186,-0.5363638598467559,0.0213348830016148,0.4005712727408068,0.1951990812585426,2
0.452107638943841,0.1364702258891758,1.3098294978380802,0.0104963170033806,-0.8343055696753174,-0.4802148961592504,2.434992023786371,0.0145834235350996,-0.2471817413561695,-0.7771095058910954,0.0213348830016148,0.3947134317762139,0.1950605294388487,2
0.4482442992068378,-0.1182179431736975,1.2740594166575612,-0.0040041438643522,-0.9745273123746974,-1.4319664911702614,2.8263251198672905,-2.033730440829605,-0.3349413786021253,-1.0375525229754263,0.0120759054499939,0.4044765000505354,0.194724412987369,2
-2.135042204935956,-0.1151859411610442,1.238289335477042,-0.0136711177761741,-1.073851046786758,-0.5734477054664515,3.177282579050972,-0.1902479629013708,-0.4162795789764259,-1.1601139427798173,0.0074464166741835,0.4103343410151283,0.1945909927165526,2
